timestamp,tempC,humPct,moistPct,lux,heater_fan_on,fan_on,water_pump_on,humidifiers_on,grow_lights_on
2025-01-01T00:00:00,10.6,77.0,60.0,0.0,1,0,0,0,1
2025-01-01T01:00:00,10.7,79.0,60.0,0.0,1,0,0,0,1
2025-01-01T02:00:00,6.6,83.0,60.0,0.0,1,0,0,0,1
2025-01-01T03:00:00,8.9,81.0,60.0,0.0,1,0,0,0,1
2025-01-01T04:00:00,7.3,77.0,59.0,0.0,1,0,0,0,1
2025-01-01T05:00:00,7.7,77.0,59.0,0.0,1,0,0,0,1
2025-01-01T06:00:00,8.3,61.0,59.0,23.0,1,0,0,0,1
2025-01-01T07:00:00,10.5,57.0,59.0,316.0,1,0,0,0,0
2025-01-01T08:00:00,11.3,61.0,58.0,525.0,1,0,0,0,0
2025-01-01T09:00:00,11.0,64.0,58.0,718.0,1,0,0,0,0
2025-01-01T10:00:00,15.3,63.0,57.0,768.0,1,0,0,0,0
2025-01-01T11:00:00,17.5,60.0,57.0,931.0,1,0,0,0,0
2025-01-01T12:00:00,19.3,61.0,56.0,949.0,0,0,0,0,0
2025-01-01T13:00:00,18.7,65.0,56.0,964.0,0,0,0,0,0
2025-01-01T14:00:00,19.5,58.0,55.0,848.0,0,0,0,0,0
2025-01-01T15:00:00,21.1,59.0,55.0,828.0,0,0,0,0,0
2025-01-01T16:00:00,20.5,64.0,54.0,733.0,0,0,0,0,0
2025-01-01T17:00:00,17.9,59.0,54.0,465.0,1,0,0,0,0
2025-01-01T18:00:00,16.5,60.0,53.0,213.0,1,0,0,0,0
2025-01-01T19:00:00,16.3,57.0,53.0,-99.0,1,0,0,0,1
2025-01-01T20:00:00,14.7,79.0,53.0,0.0,1,0,0,0,1
2025-01-01T21:00:00,13.4,79.0,53.0,0.0,1,0,0,0,1
2025-01-01T22:00:00,11.2,76.0,53.0,0.0,1,0,0,0,1
2025-01-01T23:00:00,13.3,79.0,53.0,0.0,1,0,0,0,1
2025-01-02T00:00:00,9.3,79.0,53.0,0.0,1,0,0,0,1
2025-01-02T01:00:00,9.4,77.0,53.0,0.0,1,0,0,0,1
2025-01-02T02:00:00,7.1,82.0,52.0,0.0,1,0,0,0,1
2025-01-02T03:00:00,7.2,84.0,52.0,0.0,1,0,0,0,1
2025-01-02T04:00:00,5.2,81.0,52.0,0.0,1,0,0,0,1
2025-01-02T05:00:00,5.4,85.0,52.0,0.0,1,0,0,0,1
2025-01-02T06:00:00,7.3,65.0,52.0,-52.0,1,0,0,0,1
2025-01-02T07:00:00,9.6,60.0,52.0,224.0,1,0,0,0,0
2025-01-02T08:00:00,10.4,56.0,51.0,504.0,1,0,0,0,0
2025-01-02T09:00:00,13.1,57.0,51.0,654.0,1,0,0,0,0
2025-01-02T10:00:00,14.7,55.0,50.0,867.0,1,0,0,0,0
2025-01-02T11:00:00,15.6,56.0,50.0,863.0,1,0,0,0,0
2025-01-02T12:00:00,17.2,58.0,49.0,1057.0,1,0,0,0,0
2025-01-02T13:00:00,18.4,64.0,49.0,971.0,0,0,0,0,0
2025-01-02T14:00:00,20.7,65.0,48.0,1005.0,0,0,0,0,0
2025-01-02T15:00:00,20.8,59.0,48.0,899.0,0,0,0,0,0
2025-01-02T16:00:00,21.1,57.0,47.0,737.0,0,0,0,0,0
2025-01-02T17:00:00,16.3,56.0,47.0,502.0,1,0,0,0,0
2025-01-02T18:00:00,16.6,55.0,46.0,181.0,1,0,0,0,1
2025-01-02T19:00:00,16.3,64.0,46.0,-55.0,1,0,0,0,1
2025-01-02T20:00:00,13.6,84.0,46.0,0.0,1,0,0,0,1
2025-01-02T21:00:00,12.8,75.0,46.0,0.0,1,0,0,0,1
2025-01-02T22:00:00,12.8,78.0,46.0,0.0,1,0,0,0,1
2025-01-02T23:00:00,11.7,85.0,46.0,0.0,1,0,0,0,1
2025-01-03T00:00:00,9.1,83.0,45.0,0.0,1,0,0,0,1
2025-01-03T01:00:00,10.3,79.0,45.0,0.0,1,0,0,0,1
2025-01-03T02:00:00,8.4,78.0,45.0,0.0,1,0,0,0,1
2025-01-03T03:00:00,5.8,82.0,45.0,0.0,1,0,0,0,1
2025-01-03T04:00:00,7.7,76.0,45.0,0.0,1,0,0,0,1
2025-01-03T05:00:00,6.5,84.0,45.0,0.0,1,0,0,0,1
2025-01-03T06:00:00,9.1,57.0,45.0,-78.0,1,0,0,0,1
2025-01-03T07:00:00,8.9,56.0,44.0,238.0,1,0,0,0,0
2025-01-03T08:00:00,12.2,57.0,44.0,372.0,1,0,0,0,0
2025-01-03T09:00:00,12.5,56.0,43.0,611.0,1,0,0,0,0
2025-01-03T10:00:00,12.5,63.0,43.0,908.0,1,0,0,0,0
2025-01-03T11:00:00,15.9,62.0,42.0,842.0,1,0,0,0,0
2025-01-03T12:00:00,17.0,58.0,42.0,895.0,1,0,0,0,0
2025-01-03T13:00:00,19.4,60.0,41.0,979.0,0,0,0,0,0
2025-01-03T14:00:00,18.4,65.0,41.0,929.0,0,0,0,0,0
2025-01-03T15:00:00,20.2,64.0,40.0,895.0,0,0,0,0,0
2025-01-03T16:00:00,17.4,59.0,40.0,714.0,1,0,0,0,0
2025-01-03T17:00:00,17.3,56.0,39.0,447.0,1,0,0,0,0
2025-01-03T18:00:00,16.6,56.0,39.0,147.0,1,0,0,0,1
2025-01-03T19:00:00,17.3,60.0,39.0,94.0,1,0,0,0,1
2025-01-03T20:00:00,16.6,77.0,39.0,0.0,1,0,0,0,1
2025-01-03T21:00:00,15.5,77.0,39.0,0.0,1,0,0,0,1
2025-01-03T22:00:00,11.7,77.0,38.0,0.0,1,0,0,0,1
2025-01-03T23:00:00,12.5,75.0,38.0,0.0,1,0,0,0,1
2025-01-04T00:00:00,9.4,79.0,38.0,0.0,1,0,0,0,1
2025-01-04T01:00:00,8.6,76.0,38.0,0.0,1,0,0,0,1
